match_id,home_goals,away_goals,home_shots,away_shots,home_yellow,away_yellow,home_red,away_red
258,1,4,17,10,2,1,0,0
259,0,4,6,18,2,0,0,0
260,0,2,16,8,0,0,0,0
261,4,3,13,17,1,4,0,0
262,2,1,11,19,2,1,0,0
263,4,0,19,7,1,2,0,0
264,4,1,19,6,3,1,0,0
265,1,2,18,11,1,3,0,0
266,1,1,12,14,2,1,0,0
267,2,0,12,3,0,1,0,0
268,3,2,10,12,4,4,1,0
269,0,0,6,13,1,1,0,0
270,0,1,11,12,3,0,0,0
271,2,0,8,10,0,0,0,0
272,0,1,13,12,2,2,0,0
273,2,1,9,6,0,2,0,0
274,1,0,19,15,4,3,0,0
275,3,1,28,6,2,1,0,0
276,1,0,9,14,3,2,0,0
277,1,1,11,12,2,2,0,0
278,1,0,20,3,1,0,0,0
279,1,1,10,17,0,1,0,0
280,2,2,12,17,3,3,0,0
281,0,1,9,9,0,1,0,0
282,1,2,17,10,3,0,0,0
283,1,1,13,10,1,2,0,0
284,2,4,11,11,1,1,0,0
285,2,2,11,15,2,5,0,0
286,1,2,10,5,0,0,0,0
287,1,0,12,8,3,3,0,0
288,2,0,13,12,0,0,0,0
289,0,3,11,18,2,0,0,0
290,2,1,17,9,1,2,0,0
291,1,0,8,23,1,3,0,0
292,1,0,9,10,4,2,0,0
293,1,2,24,10,1,2,0,0
294,0,3,11,8,1,3,0,0
295,1,0,17,5,2,2,0,0
296,2,0,18,2,1,4,0,0
297,2,1,21,12,1,1,0,0
298,1,1,8,9,2,1,0,0
299,1,0,11,8,5,5,0,0
300,2,1,17,19,2,2,0,0
301,2,1,8,11,0,1,2,1
302,1,1,5,14,3,1,0,0
303,1,2,6,22,2,2,0,0
304,2,2,9,11,2,2,0,0
305,0,0,9,21,1,3,0,0
306,3,2,12,14,3,0,0,0
307,0,0,13,9,3,2,0,0
308,3,1,13,12,1,1,0,0
309,0,3,7,16,2,0,0,0
310,1,1,14,3,1,3,0,0
311,2,2,21,15,2,5,0,0
312,5,2,21,8,2,3,0,0
313,0,1,10,13,0,3,0,0
314,0,3,7,25,3,1,0,0
315,2,2,34,13,2,2,0,0
316,2,1,15,11,0,2,0,0
317,4,1,13,9,0,2,0,0
318,4,2,13,11,1,2,0,0
319,1,0,12,12,3,2,0,0
320,5,0,14,11,2,3,0,0
321,4,1,23,10,1,3,0,0
322,4,2,16,12,3,3,0,1
323,0,0,5,15,3,4,1,0
324,0,2,8,12,4,0,0,0
325,1,1,12,15,2,1,0,0
326,1,2,6,13,1,3,0,0
327,0,4,4,24,0,0,1,0
328,0,1,5,28,1,2,0,0
329,0,1,12,4,2,3,0,0
330,1,2,22,4,1,4,0,0
331,2,1,14,7,3,3,0,0
332,2,2,12,15,1,1,0,0
333,3,2,16,12,1,1,0,0
334,1,0,10,6,0,0,0,0
335,3,0,25,4,1,2,0,1
336,1,2,7,26,1,1,0,0
337,3,0,20,8,1,4,0,0
338,1,1,8,25,4,2,1,0
339,5,1,25,8,2,1,0,0
340,0,2,14,11,3,5,0,0
341,1,0,9,6,0,0,0,0
342,1,2,13,9,0,2,0,0
343,1,0,10,11,0,5,0,0
344,2,2,8,12,4,4,0,0
345,2,0,14,8,1,3,0,0
346,4,3,12,14,0,2,0,0
347,1,1,5,13,2,1,0,0
348,3,1,17,11,2,2,0,0
349,1,1,11,7,2,2,0,0
350,1,1,20,12,3,8,0,0
351,0,1,10,6,4,3,0,1
352,1,3,18,11,1,0,0,0
353,0,1,11,15,2,4,0,0
354,0,0,2,26,2,0,0,0
355,0,2,10,7,1,1,0,0
356,2,2,14,15,1,1,0,1
357,0,2,20,9,0,1,0,0
358,2,0,15,10,4,2,0,1
359,2,2,15,10,3,3,0,0
360,0,2,8,23,1,1,0,0
361,2,0,18,3,1,2,0,0
362,1,0,11,4,1,6,0,0
363,1,0,12,14,3,3,0,0
364,2,3,11,16,4,4,0,0
365,2,0,13,6,1,1,0,0
