player_id,matches_played,starts,minutes_played,goals,assists,yellow_cards,red_cards
1698,5,5,450,0,0,0,0
1699,34,27,2223,1,4,7,0
1700,29,28,2466,0,0,5,1
1701,32,27,2310,2,4,3,0
1702,30,29,2496,1,1,1,1
1703,21,15,1371,4,6,1,0
1704,2,0,19,0,0,0,0
1705,34,33,2938,12,4,3,0
1706,23,17,1603,1,0,2,0
1707,29,29,2543,0,1,15,1
1708,7,2,183,0,0,2,0
1709,1,0,5,0,0,0,0
1710,4,0,63,1,0,0,0
1711,7,6,424,0,0,2,1
1712,3,0,26,0,0,0,0
1713,12,5,544,2,0,0,0
1714,1,0,11,0,0,0,0
1715,32,22,1893,2,3,1,0
1716,3,1,89,0,1,0,0
1717,15,10,941,0,0,2,0
1718,24,19,1676,1,3,3,0
1719,27,19,1531,3,2,4,0
1720,18,8,825,0,0,2,0
1721,14,12,1005,0,1,1,1
1722,10,7,588,0,1,2,0
1723,2,1,108,0,0,1,0
1724,29,26,2280,0,1,2,0
1725,34,34,3005,0,0,0,0
1726,28,17,1586,7,2,4,1
1727,27,21,1589,1,3,1,0
1728,14,2,418,0,0,1,0
1729,13,5,456,0,1,0,0
1730,17,8,847,1,1,1,0
1731,10,3,358,0,0,2,1
1732,10,10,900,0,0,1,0
1733,30,21,1928,2,0,5,0
1734,2,2,180,0,0,0,0
1735,1,0,1,0,0,0,0
1736,8,0,117,0,0,0,0
1737,1,0,32,0,0,1,0
1738,34,17,1724,1,3,3,0
1739,21,16,1288,0,3,2,0
1740,34,13,1449,11,6,2,0
1741,3,0,26,0,0,0,0
1742,37,37,3330,5,2,4,0
1743,14,1,313,1,0,0,0
1744,37,37,3330,0,0,3,0
1745,12,11,938,1,1,2,0
1746,33,32,2875,1,4,6,0
1747,20,1,456,3,0,3,0
1748,29,22,1843,6,5,9,0
1749,4,3,170,0,0,1,0
1750,27,27,2283,2,0,2,0
1751,31,31,2569,1,0,6,1
1752,31,27,2231,6,3,4,0
1753,10,8,715,1,0,0,0
1754,14,12,1120,0,0,1,0
1755,34,31,2729,4,6,6,1
1756,3,0,22,0,0,0,0
1757,32,20,1838,6,4,6,0
1758,17,12,869,2,1,0,0
1759,20,5,753,1,2,4,0
1760,31,25,2277,0,6,4,1
1761,25,22,1677,3,3,2,0
1762,37,37,3092,0,5,2,0
1763,36,28,2603,10,4,1,0
1764,31,28,2469,1,7,5,0
1765,15,6,464,1,0,0,1
1766,31,29,2328,1,4,4,0
1767,4,0,11,0,0,0,0
1768,20,4,608,0,1,1,0
1769,35,17,1827,2,6,7,0
